City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Canavieiras,BR,2021-06-02 21:01:28,-15.675,-38.9472,73.96,82,39,5.53
194,Jalu,LY,2021-06-02 21:01:28,29.0331,21.5482,83.7,25,4,8.77
195,Port Hawkesbury,CA,2021-06-02 21:01:29,45.6169,-61.3485,73.58,60,2,7.31
196,Port Hardy,CA,2021-06-02 21:01:29,50.6996,-127.4199,61.29,78,100,1.39
197,Fortuna,US,2021-06-02 21:01:29,40.5982,-124.1573,94.48,76,20,4.0
198,Honiara,SB,2021-06-02 21:01:29,-9.4333,159.95,80.87,79,74,6.17
199,Longyearbyen,SJ,2021-06-02 21:01:30,78.2186,15.6401,37.24,81,90,28.77
200,Mahanoro,MG,2021-06-02 21:01:30,-19.9,48.8,68.16,93,10,6.24
201,Ocampo,MX,2021-06-02 21:01:30,21.65,-101.5,64.8,58,100,8.16
202,La Paz,BO,2021-06-02 20:58:19,-16.5,-68.15,64.38,9,37,10.36
203,Kaitangata,NZ,2021-06-02 21:01:31,-46.2817,169.8464,43.18,87,18,6.44
204,Pudozh,RU,2021-06-02 21:01:31,61.8099,36.5345,50.11,79,67,4.0
205,Vestmanna,FO,2021-06-02 21:01:31,62.1564,-7.1664,47.32,100,75,4.41
206,Leningradskiy,RU,2021-06-02 21:01:32,69.3833,178.4167,29.26,88,38,10.8
207,Port Lincoln,AU,2021-06-02 21:01:32,-34.7333,135.8667,59.07,80,92,12.97
208,Daud Khel,PK,2021-06-02 21:01:32,32.875,71.5701,90.63,31,12,2.24
209,Haines Junction,CA,2021-06-02 21:01:33,60.7522,-137.5108,55.98,51,100,7.43
210,Jumla,NP,2021-06-02 21:01:33,29.2747,82.1838,52.86,86,18,2.93
211,Husavik,IS,2021-06-02 21:01:33,66.0449,-17.3389,46.24,75,19,4.14
212,Fougamou,GA,2021-06-02 21:01:34,-1.2154,10.5838,73.99,96,54,2.15
213,Nelson Bay,AU,2021-06-02 21:01:34,-32.7167,152.15,55.69,95,99,7.56
214,Ponta Do Sol,PT,2021-06-02 21:01:34,32.6667,-17.1,65.12,56,97,9.24
215,Katangli,RU,2021-06-02 21:01:35,51.7102,143.2326,50.7,84,26,6.24
216,Mao,ES,2021-06-02 21:01:35,39.8885,4.2658,68.56,88,40,10.36
217,Asyut,EG,2021-06-02 21:01:35,27.181,31.1837,82.65,22,7,20.76
218,Neryungri,RU,2021-06-02 21:01:35,56.6709,124.6491,45.03,91,39,2.62
219,Sao Raimundo Nonato,BR,2021-06-02 21:01:36,-9.0153,-42.6994,85.14,35,67,6.91
220,Puksoozero,RU,2021-06-02 21:01:36,62.5903,40.6066,46.17,93,94,4.18
221,Diffa,NE,2021-06-02 21:01:36,13.3154,12.6113,88.3,40,78,15.43
222,Yerbogachen,RU,2021-06-02 21:01:37,61.2767,108.0108,57.92,56,0,4.36
223,Elizabeth City,US,2021-06-02 21:01:37,36.2946,-76.2511,74.98,90,100,8.23
224,Peterhead,GB,2021-06-02 21:01:37,57.5058,-1.7981,52.12,93,5,13.24
225,Mandera,KE,2021-06-02 21:01:38,3.9366,41.867,84.15,47,96,20.07
226,Les Cayes,HT,2021-06-02 21:01:38,18.2,-73.75,83.21,68,39,11.63
227,Ereymentau,KZ,2021-06-02 21:01:38,51.6199,73.1033,62.55,73,100,12.17
228,Santa Cruz,BO,2021-06-02 21:00:07,-17.8,-63.1667,81.68,50,67,10.96
229,Mayo,US,2021-06-02 21:01:39,38.8876,-76.5119,84.24,58,100,4.0
230,Bac Lieu,VN,2021-06-02 21:01:39,9.285,105.7244,82.36,83,91,8.05
231,Buala,SB,2021-06-02 21:01:39,-8.145,159.5921,80.92,81,92,3.4
232,Upernavik,GL,2021-06-02 21:01:13,72.7868,-56.1549,32.18,84,100,8.12
233,Achutupo,PA,2021-06-02 21:01:40,9.2,-77.9833,81.79,79,100,3.91
234,Krasnyy Yar,RU,2021-06-02 21:01:40,46.5331,48.3456,67.96,76,96,14.88
235,Groningen,NL,2021-06-02 21:01:40,53.25,6.75,68.27,81,100,7.81
236,Salalah,OM,2021-06-02 21:01:41,17.0151,54.0924,79.65,81,99,6.87
237,Severnyy,RU,2021-06-02 21:01:41,50.677,36.5532,60.84,51,0,15.66
238,Labuhan,ID,2021-06-02 21:01:41,-6.8844,112.2051,77.68,89,100,8.46
239,Bubaque,GW,2021-06-02 21:01:42,11.2833,-15.8333,80.2,76,7,16.64
240,Zabaykalsk,RU,2021-06-02 21:01:42,49.6333,117.3167,51.75,76,100,9.98
241,Ankang,CN,2021-06-02 21:01:42,32.68,109.0172,64.85,89,100,2.66
242,Asau,RO,2021-06-02 21:01:43,46.4333,26.4,51.96,82,100,4.88
243,Mascota,MX,2021-06-02 21:01:43,20.5167,-104.7833,72.32,50,100,3.83
244,Los Llanos De Aridane,ES,2021-06-02 21:01:43,28.6585,-17.9182,65.95,89,75,10.51
245,Mount Gambier,AU,2021-06-02 21:01:44,-37.8333,140.7667,44.51,93,90,1.14
246,Bouna,CI,2021-06-02 21:01:44,9.2667,-3.0,82.18,62,81,5.26
247,Sirjan,IR,2021-06-02 21:01:44,29.452,55.6814,80.51,11,17,2.06
248,Poum,NC,2021-06-02 21:01:45,-20.2333,164.0167,72.1,63,84,10.04
249,Ust-Koksa,RU,2021-06-02 21:01:45,50.2696,85.6108,54.48,90,71,1.48
250,Imbituba,BR,2021-06-02 21:01:45,-28.24,-48.6703,66.38,78,100,0.83
251,Thompson,CA,2021-06-02 21:00:41,55.7435,-97.8558,77.4,36,95,13.94
252,Kleive,NO,2021-06-02 21:01:46,62.7954,7.6359,62.83,51,22,0.31
253,Havre-Saint-Pierre,CA,2021-06-02 21:01:46,50.2334,-63.5986,52.18,72,47,21.09
254,Wangqing,CN,2021-06-02 21:01:46,43.3218,129.7634,56.21,99,100,1.74
255,Prince George,CA,2021-06-02 21:01:47,53.9166,-122.753,78.26,42,88,1.01
256,Shangzhi,CN,2021-06-02 21:01:47,45.2167,127.9667,54.32,94,100,10.29
257,Cleburne,US,2021-06-02 21:01:47,32.3476,-97.3867,83.41,62,75,0.0
258,Felipe Carrillo Puerto,MX,2021-06-02 21:01:48,19.5833,-88.05,93.45,39,31,9.26
259,Tasiilaq,GL,2021-06-02 21:01:48,65.6145,-37.6368,39.36,81,36,5.21
260,Santona,ES,2021-06-02 21:01:48,43.4439,-3.4576,64.71,93,61,2.93
261,Henties Bay,NA,2021-06-02 21:01:49,-22.116,14.2845,64.83,57,0,4.52
262,Nome,US,2021-06-02 21:01:49,64.5011,-165.4064,47.16,45,42,4.5
263,Torit,SS,2021-06-02 21:01:49,4.4133,32.5678,73.08,83,100,0.81
264,Cap Malheureux,MU,2021-06-02 21:01:08,-19.9842,57.6142,76.46,68,40,10.0
265,Mendi,PG,2021-06-02 21:01:50,-6.1761,143.6513,56.97,97,100,0.83
266,Avera,US,2021-06-02 21:01:50,33.194,-82.5271,86.45,33,100,6.62
267,Derzhavinsk,KZ,2021-06-02 21:01:50,51.1,66.3167,66.96,51,100,11.25
268,Dingle,PH,2021-06-02 21:01:50,10.9995,122.6711,76.84,91,100,5.37
269,Bafia,CM,2021-06-02 21:01:51,4.75,11.2333,71.4,97,100,3.94
270,Bilibino,RU,2021-06-02 21:01:35,68.0546,166.4372,58.53,34,3,3.69
271,Shenjiamen,CN,2021-06-02 21:01:51,29.9576,122.298,71.06,99,94,8.37
272,Coquimbo,CL,2021-06-02 21:01:51,-29.9533,-71.3436,56.93,94,40,10.76
273,Moissala,TD,2021-06-02 21:01:52,8.3404,17.7663,74.86,71,82,4.81
274,Payo,ID,2021-06-02 21:01:52,-3.7508,103.6372,72.09,97,52,2.04
275,Carora,VE,2021-06-02 21:01:52,10.1755,-70.0827,85.8,50,100,3.69
276,Ust-Nera,RU,2021-06-02 21:01:53,64.5667,143.2,49.59,57,11,2.75
277,Enshi,CN,2021-06-02 21:01:53,30.3,109.4833,69.4,97,97,3.0
278,Bollnas,SE,2021-06-02 21:01:53,61.3482,16.3946,50.4,70,41,3.78
279,Barinas,VE,2021-06-02 21:01:54,8.6226,-70.2075,96.84,44,79,6.91
280,Belmonte,BR,2021-06-02 21:01:54,-15.8631,-38.8828,77.5,81,31,7.31
281,Toora-Khem,RU,2021-06-02 21:01:54,52.4675,96.11,46.35,71,74,2.39
282,Shostka,UA,2021-06-02 21:01:55,51.863,33.4698,50.86,81,68,11.1
283,Constitucion,CL,2021-06-02 21:01:55,-35.3333,-72.4167,60.24,76,46,12.86
284,Nishihara,JP,2021-06-02 21:01:55,26.1842,127.7558,78.08,100,40,9.08
285,Menongue,AO,2021-06-02 21:01:55,-14.6585,17.691,54.12,44,32,3.62
286,Yulara,AU,2021-06-02 21:01:56,-25.2406,130.9889,50.59,80,66,9.26
287,Petukhovo,RU,2021-06-02 21:01:56,55.0692,67.9019,54.43,64,35,5.68
288,Coihaique,CL,2021-06-02 21:01:56,-45.5752,-72.0662,40.41,97,100,2.53
289,Nassau,US,2021-06-02 21:01:00,40.7507,-73.5829,74.95,66,1,5.01
290,Provideniya,RU,2021-06-02 21:01:57,64.3833,-173.3,39.31,60,20,4.47
291,Bengkulu,ID,2021-06-02 21:01:57,-3.8004,102.2655,76.87,84,67,4.65
292,Torrington,US,2021-06-02 21:01:58,41.8007,-73.1212,74.88,67,100,7.2
293,Fitchburg,US,2021-06-02 20:58:50,42.5834,-71.8023,81.21,37,100,1.99
294,Micheweni,TZ,2021-06-02 21:01:58,-4.9667,39.8333,76.53,80,38,9.78
