City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
445,Luanda,AO,78.8,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
447,Intipuca,SV,94.77,scattered clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
451,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
452,Fajardo,PR,85.93,few clouds,18.3258,-65.6524,"El Conquistador, A Waldorf Astoria Resort"
456,Sabinopolis,BR,76.77,broken clouds,-18.6661,-43.0839,Hotel Pousada Jesus
458,Dawlatabad,AF,89.55,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
460,Maumere,ID,77.68,few clouds,-8.6199,122.2111,Sylvia Hotel
461,Guaira,BR,88.39,clear sky,-20.3183,-48.3106,Hotel do Lago
466,Mitchell,US,87.78,clear sky,43.7094,-98.0298,Kelly Inn & Suites
467,Oussouye,SN,87.98,scattered clouds,12.485,-16.5469,Auberge du Routard
472,Amapa,BR,82.96,light rain,1.0,-52.0,
484,Kulhudhuffushi,MV,82.81,overcast clouds,6.6221,73.07,Haajy Guest House 1
485,Villa Carlos Paz,AR,77.4,clear sky,-31.4241,-64.4978,Monte Carlo
486,Port Blair,IN,83.26,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
489,Marsh Harbour,BS,79.65,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
492,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
495,Terra Boa,BR,85.6,clear sky,-23.7681,-52.4442,Hotel do Gaúcho
497,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
498,Babra,IN,85.59,clear sky,21.85,71.3,Old Circuit House
501,Porto De Moz,BR,83.25,few clouds,-1.7483,-52.2383,Dormitório labelle
503,Komsomolskiy,UZ,83.12,broken clouds,40.4272,71.7189,Ikathouse
506,Aquiraz,BR,86.09,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
508,Terra Santa,BR,86.67,moderate rain,-2.1042,-56.4869,Hotel Sarah
509,Jalu,LY,89.19,clear sky,29.0331,21.5482,صاحبة الفخامة
512,Washougal,US,83.7,clear sky,45.5826,-122.3534,Camas Hotel & Suites Portland - Vancouver
513,Mandali,IQ,89.98,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
514,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
516,Medicine Hat,CA,90.84,clear sky,50.0501,-110.6683,Sun Dek Motel
517,Guarapari,BR,84.9,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
518,Kattivakkam,IN,86.07,overcast clouds,13.2167,80.3167,Raj's villa
522,Langsa,ID,75.4,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
527,Dicabisagan,PH,81.12,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
528,Indramayu,ID,81.28,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
530,San Pedro Del Parana,PY,80.35,clear sky,-26.8333,-56.2,Hotel Oasis
535,Nichinan,JP,77.27,light rain,31.6,131.3667,Guest House Aki
537,Tarauaca,BR,87.96,overcast clouds,-8.1614,-70.7656,Flat Temporada
539,Jizan,SA,92.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
542,Kutum,SD,88.7,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
543,Sitio Novo Do Tocantins,BR,82.33,broken clouds,-5.5183,-47.4611,Imperial Hotel
544,Ibia,BR,81.91,broken clouds,-19.4783,-46.5389,Hotel Triângulo
